Phenotype Name,Phenotype ID,"% of genes with the term in ""QueryGeneSet""","% of genes with the term in ""Background""",Fisher's Exact Test P-value,BH FDR corrected P-value,Bonferroni corrected P-value
embryonic/larval anterior spiracle,FBbt:00000407,0.0% (0/93),0.01% (1/11801),1,1,1
larval abdominal segment 8,FBbt:00001755,0.0% (0/93),0.3% (35/11801),1,1,1
larval abdominal sensillum,FBbt:00002782,0.0% (0/93),0.07% (8/11801),1,1,1
abdominal larval oenocyte group,FBbt:00001695,1.08% (1/93),0.22% (26/11801),0.191178839,1,1
larval telson,FBbt:00001759,0.0% (0/93),0.17% (20/11801),1,1,1
larval abdominal segment 11,FBbt:00001758,0.0% (0/93),0.05% (6/11801),1,1,1
larval abdominal segment 9,FBbt:00001756,0.0% (0/93),0.1% (12/11801),1,1,1
embryonic/larval thoracic sensillum,FBbt:00007244,1.08% (1/93),0.18% (21/11801),0.158735186,1,1
embryonic/larval salivary gland,FBbt:00001878,0.0% (0/93),0.09% (11/11801),1,1,1
embryonic/larval foregut sensillum,FBbt:00007243,0.0% (0/93),0.02% (2/11801),1,1,1
embryonic/larval garland organ,FBbt:00001692,1.08% (1/93),0.22% (26/11801),0.191178839,1,1
embryonic/larval lymph gland,FBbt:00001668,1.08% (1/93),0.31% (37/11801),0.258261918,1,1
embryonic/larval hemocoel,FBbt:00001682,0.0% (0/93),0.17% (20/11801),1,1,1
pupal central nervous system,FBbt:00110193,0.0% (0/93),0.03% (4/11801),1,1,1
pupal trachea,FBbt:00002956,0.0% (0/93),0.02% (2/11801),1,1,1
pupal spiracle,FBbt:00002996,0.0% (0/93),0.19% (22/11801),1,1,1
adult fruitless aSP-a (male) lineage clone,FBbt:00110594,0.0% (0/93),0.01% (1/11801),1,1,1
ejaculatory duct,FBbt:00004965,0.0% (0/93),0.02% (2/11801),1,1,1
ejaculatory bulb,FBbt:00004962,0.0% (0/93),0.02% (2/11801),1,1,1
vas deferens,FBbt:00004968,0.0% (0/93),0.24% (28/11801),1,1,1
male accessory gland,FBbt:00004959,1.08% (1/93),0.34% (40/11801),0.275581676,1,1
adult fruitless aDT-b (male) lineage clone,FBbt:00110578,0.0% (0/93),0.01% (1/11801),1,1,1
adult longitudinal muscle,FBbt:00003526,0.0% (0/93),0.1% (12/11801),1,1,1
adult circular muscle,FBbt:00003527,1.08% (1/93),0.02% (2/11801),0.023276212,1,1
adult midgut muscle,FBbt:00003534,0.0% (0/93),0.02% (2/11801),1,1,1
adult heart muscle,FBbt:00003543,1.08% (1/93),0.08% (10/11801),0.082758275,1,1
adult fat body,FBbt:00003209,1.08% (1/93),0.07% (8/11801),0.068232578,1,1
adult somatic muscle,FBbt:00003259,6.45% (6/93),2.17% (256/11801),0.016697308,1,1
suture,FBbt:00004479,1.08% (1/93),0.08% (10/11801),0.082758275,1,1
adult abdominal sensillum,FBbt:00004461,1.08% (1/93),0.33% (39/11801),0.269853345,1,1
adult trachea,FBbt:00003038,0.0% (0/93),0.12% (14/11801),1,1,1
tracheal air sac,FBbt:00003101,0.0% (0/93),0.03% (3/11801),1,1,1
chordotonal organ of leg,FBbt:00100292,0.0% (0/93),0.03% (3/11801),1,1,1
adult antennal sense organ,FBbt:00007151,1.08% (1/93),0.41% (48/11801),0.319836051,1,1
LN Pdf neuron,FBbt:00003762,0.0% (0/93),0.2% (24/11801),1,1,1
eyelet,FBbt:00005739,0.0% (0/93),0.02% (2/11801),1,1,1
adult labial segment,FBbt:00003017,0.0% (0/93),0.32% (38/11801),1,1,1
skeletal muscle of head,FBbt:00003260,0.0% (0/93),0.03% (4/11801),1,1,1
adult maxillary segment,FBbt:00003016,0.0% (0/93),0.39% (46/11801),1,1,1
adult gnathal segment,FBbt:00003014,0.0% (0/93),0.66% (78/11801),1,1,1
adult intercalary segment,FBbt:00003013,0.0% (0/93),0.03% (3/11801),1,1,1
adult hemocoel,FBbt:00003150,0.0% (0/93),0.03% (3/11801),1,1,1
adult Malpighian tubule,FBbt:00005725,0.0% (0/93),0.04% (5/11801),1,1,1
adult DN period neuron,FBbt:00003628,0.0% (0/93),0.01% (1/11801),1,1,1
LN period neuron,FBbt:00004044,0.0% (0/93),0.42% (49/11801),1,1,1
adult abdominal segment 7,FBbt:00003031,0.0% (0/93),0.14% (16/11801),1,1,1
skeletal muscle of abdomen,FBbt:00003447,1.08% (1/93),0.12% (14/11801),0.111140938,1,1
adult abdominal segment 1,FBbt:00003025,1.08% (1/93),0.08% (10/11801),0.082758275,1,1
adult telson,FBbt:00003036,1.08% (1/93),0.26% (31/11801),0.22238423,1,1
adult abdominal segment 2,FBbt:00003026,1.08% (1/93),0.08% (9/11801),0.075523649,1,1
adult abdominal segment 8,FBbt:00003032,0.0% (0/93),0.14% (17/11801),1,1,1
adult abdominal segment 4,FBbt:00003028,1.08% (1/93),0.11% (13/11801),0.104127797,1,1
adult posterior abdominal ganglion neuron,FBbt:00110662,0.0% (0/93),0.01% (1/11801),1,1,1
adult abdominal segment 5,FBbt:00003029,1.08% (1/93),0.28% (33/11801),0.234530209,1,1
adult abdominal segment 9,FBbt:00003033,0.0% (0/93),0.17% (20/11801),1,1,1
adult abdominal segment 10,FBbt:00003034,1.08% (1/93),0.19% (22/11801),0.165325283,1,1
adult abdominal segment 3,FBbt:00003027,1.08% (1/93),0.07% (8/11801),0.068232578,1,1
superficial trachea,FBbt:00003082,0.0% (0/93),0.02% (2/11801),1,1,1
haltere,FBbt:00004783,0.0% (0/93),0.16% (19/11801),1,1,1
antenna,FBbt:00004511,1.08% (1/93),1.27% (150/11801),1,1,1
adult fruitless aSP-a (female) lineage clone,FBbt:00110448,0.0% (0/93),0.01% (1/11801),1,1,1
adult fruitless aDT-h lineage clone,FBbt:00110428,0.0% (0/93),0.01% (1/11801),1,1,1
vagina,FBbt:00004925,0.0% (0/93),0.01% (1/11801),1,1,1
oviduct,FBbt:00004911,0.0% (0/93),0.01% (1/11801),1,1,1
spermathecum,FBbt:00004921,0.0% (0/93),0.02% (2/11801),1,1,1
adult fruitless aDT-b (female) lineage clone,FBbt:00110416,0.0% (0/93),0.02% (2/11801),1,1,1
perineurium,FBbt:00007090,1.08% (1/93),0.46% (54/11801),0.351261665,1,1
glioblast,FBbt:00005145,0.0% (0/93),0.01% (1/11801),1,1,1
articulation,FBbt:00005811,0.0% (0/93),0.27% (32/11801),1,1,1
garland cell,FBbt:00005059,1.08% (1/93),0.24% (28/11801),0.203806928,1,1
pericardial cell,FBbt:00005058,2.15% (2/93),0.81% (96/11801),0.17844751,1,1
hemocoel,FBbt:00005060,0.0% (0/93),0.29% (34/11801),1,1,1
muscle attachment site,FBbt:00005089,0.0% (0/93),0.2% (24/11801),1,1,1
somatic muscle,FBbt:00005073,11.83% (11/93),4.94% (583/11801),0.006495148,1,1
visceral muscle,FBbt:00005070,3.23% (3/93),0.73% (86/11801),0.032437919,1,1
midgut,FBbt:00005383,8.6% (8/93),2.8% (331/11801),0.004985338,1,1
foregut,FBbt:00005379,12.9% (12/93),2.97% (350/11801),2.38E-05,1,1
hindgut,FBbt:00005384,1.08% (1/93),0.77% (91/11801),0.515660559,1,1
proventriculus,FBbt:00005752,1.08% (1/93),0.42% (49/11801),0.325176299,1,1
tracheolar cell,FBbt:00005048,1.08% (1/93),0.08% (10/11801),0.082758275,1,1
peritracheal cell,FBbt:00006016,0.0% (0/93),0.01% (1/11801),1,1,1
some die during immature adult stage,FBcv:0002051,0.0% (0/93),0.02% (2/11801),1,1,1
courtship behavior defective,FBcv:0000399,1.08% (1/93),0.2% (24/11801),0.178352648,1,1
proboscis extension reflex defective,FBcv:0000680,0.0% (0/93),0.04% (5/11801),1,1,1
abdominal tracheal primordium,FBbt:00000189,0.0% (0/93),0.02% (2/11801),1,1,1
abdominal tracheal pit,FBbt:00000201,0.0% (0/93),0.01% (1/11801),1,1,1
dorsal thoracic disc primordium,FBbt:00001653,0.0% (0/93),0.02% (2/11801),1,1,1
ventral thoracic disc primordium,FBbt:00001657,0.0% (0/93),0.01% (1/11801),1,1,1
pharyngeal sclerite,FBbt:00001850,1.08% (1/93),0.28% (33/11801),0.234530209,1,1
embryonic tritocerebral neuromere,FBbt:00001065,0.0% (0/93),0.02% (2/11801),1,1,1
embryonic protocerebral neuromere,FBbt:00001063,0.0% (0/93),0.04% (5/11801),1,1,1
embryonic protocerebrum,FBbt:00001066,0.0% (0/93),0.01% (1/11801),1,1,1
embryonic deutocerebral neuromere,FBbt:00001064,0.0% (0/93),0.02% (2/11801),1,1,1
embryonic deutocerebrum,FBbt:00001067,0.0% (0/93),0.01% (1/11801),1,1,1
muscle founder cell,FBbt:00005084,1.08% (1/93),0.05% (6/11801),0.053479361,1,1
protocerebrum primordium,FBbt:00005549,0.0% (0/93),0.02% (2/11801),1,1,1
mesothoracic tracheal primordium,FBbt:00000187,0.0% (0/93),0.01% (1/11801),1,1,1
metathoracic tracheal primordium,FBbt:00000188,0.0% (0/93),0.02% (2/11801),1,1,1
embryonic midgut chamber,FBbt:00005628,0.0% (0/93),0.04% (5/11801),1,1,1
genital disc primordium,FBbt:00001661,0.0% (0/93),0.01% (1/11801),1,1,1
prohemocyte,FBbt:00005062,0.0% (0/93),0.03% (3/11801),1,1,1
stage 3 neuroblast,FBbt:00001393,1.08% (1/93),0.18% (21/11801),0.158735186,1,1
stage 4 neuroblast,FBbt:00001409,0.0% (0/93),0.16% (19/11801),1,1,1
stage 1 neuroblast,FBbt:00001370,0.0% (0/93),0.19% (23/11801),1,1,1
stage 2 neuroblast,FBbt:00001383,0.0% (0/93),0.14% (17/11801),1,1,1
stage 5 neuroblast,FBbt:00001420,0.0% (0/93),0.12% (14/11801),1,1,1
midgut interstitial cell primordium,FBbt:00005452,0.0% (0/93),0.01% (1/11801),1,1,1
mesectodermal derivative,FBbt:00025997,0.0% (0/93),0.05% (6/11801),1,1,1
stage 12 embryo,FBbt:00005327,0.0% (0/93),0.02% (2/11801),1,1,1
stomodeal invagination late,FBbt:00005252,0.0% (0/93),0.05% (6/11801),1,1,1
head mesoderm derivative,FBbt:00025999,0.0% (0/93),0.09% (11/11801),1,1,1
early stomodeal invagination,FBbt:00000120,0.0% (0/93),0.03% (3/11801),1,1,1
ventral epidermis primordium,FBbt:00005533,0.0% (0/93),0.01% (1/11801),1,1,1
apterous-expressing neuron of the lateral cluster of the thorax,FBbt:00110868,1.08% (1/93),0.4% (47/11801),0.314453999,1,1
thoracic-abdominal embryonic fiber tract,FBbt:00001641,0.0% (0/93),0.05% (6/11801),1,1,1
abdominal tracheal primordium 1,FBbt:00000190,0.0% (0/93),0.01% (1/11801),1,1,1
abdominal tracheal primordium 7,FBbt:00000196,0.0% (0/93),0.01% (1/11801),1,1,1
abdominal tracheal primordium 6,FBbt:00000195,0.0% (0/93),0.01% (1/11801),1,1,1
dorsal abdominal cluster,FBbt:00001190,0.0% (0/93),0.01% (1/11801),1,1,1
neuroblast NB6-4 of abdomen,FBbt:00001401,0.0% (0/93),0.01% (1/11801),1,1,1
abdominal tracheal primordium 2,FBbt:00000191,0.0% (0/93),0.01% (1/11801),1,1,1
histoblast nest,FBbt:00001790,1.08% (1/93),0.09% (11/11801),0.08993689,1,1
embryonic heart cardioblast,FBbt:00007322,0.0% (0/93),0.07% (8/11801),1,1,1
imaginal tracheoblast,FBbt:00005042,0.0% (0/93),0.03% (4/11801),1,1,1
endodermal derivative,FBbt:00025994,0.0% (0/93),0.19% (23/11801),1,1,1
embryonic/larval spiracle primordium,FBbt:00005599,1.08% (1/93),0.11% (13/11801),0.104127797,1,1
embryonic fiber tract founder cluster,FBbt:00001605,0.0% (0/93),0.03% (3/11801),1,1,1
embryonic fiber tract,FBbt:00001623,0.0% (0/93),0.05% (6/11801),1,1,1
embryonic hindgut,FBbt:00005630,0.0% (0/93),0.11% (13/11801),1,1,1
peripheral nervous system precursor cluster,FBbt:00001139,0.0% (0/93),0.09% (11/11801),1,1,1
embryonic stomatogastric nervous system,FBbt:00001069,0.0% (0/93),0.05% (6/11801),1,1,1
embryonic ventral nervous system,FBbt:00001082,0.0% (0/93),0.09% (11/11801),1,1,1
embryonic brain,FBbt:00001060,0.0% (0/93),0.23% (27/11801),1,1,1
embryonic supraesophageal neuromere,FBbt:00001062,0.0% (0/93),0.09% (11/11801),1,1,1
imaginal disc anterior compartment,FBbt:00007109,1.08% (1/93),0.13% (15/11801),0.118099764,1,1
ventral thoracic disc,FBbt:00001780,0.0% (0/93),0.18% (21/11801),1,1,1
disc epithelium proper,FBbt:00007029,1.08% (1/93),0.15% (18/11801),0.138654497,1,1
genital disc,FBbt:00001784,0.0% (0/93),0.05% (6/11801),1,1,1
endocuticle,FBbt:00004974,1.08% (1/93),0.38% (45/11801),0.303563193,1,1
labial sensillum,FBbt:00002721,0.0% (0/93),0.25% (29/11801),1,1,1
pharyngeal sense organ,FBbt:00004135,0.0% (0/93),0.03% (3/11801),1,1,1
labral segment,FBbt:00000008,0.0% (0/93),0.19% (22/11801),1,1,1
ocular segment,FBbt:00000005,0.0% (0/93),0.36% (43/11801),1,1,1
intercalary segment,FBbt:00000010,0.0% (0/93),0.17% (20/11801),1,1,1
maxillary segment,FBbt:00000013,0.0% (0/93),0.54% (64/11801),1,1,1
labial segment,FBbt:00000014,0.0% (0/93),0.57% (67/11801),1,1,1
mandibular segment,FBbt:00000012,0.0% (0/93),0.08% (9/11801),1,1,1
thoracic neuromere,FBbt:00111026,0.0% (0/93),0.05% (6/11801),1,1,1
prothoracic nerve,FBbt:00002063,0.0% (0/93),0.05% (6/11801),1,1,1
thoracic T1 neuron,FBbt:00001984,0.0% (0/93),0.01% (1/11801),1,1,1
prothoracic neuromere,FBbt:00004054,0.0% (0/93),0.01% (1/11801),1,1,1
thoracic T3 neuron,FBbt:00001986,0.0% (0/93),0.01% (1/11801),1,1,1
metathoracic nerve,FBbt:00002141,0.0% (0/93),0.05% (6/11801),1,1,1
tracheal metamere 2,FBbt:00005027,1.08% (1/93),0.03% (4/11801),0.038495098,1,1
tracheal metamere 1,FBbt:00005026,1.08% (1/93),0.25% (30/11801),0.216239943,1,1
mesothoracic suture,FBbt:00004600,1.08% (1/93),0.07% (8/11801),0.068232578,1,1
thoracic T2 neuron,FBbt:00001985,1.08% (1/93),0.11% (13/11801),0.104127797,1,1
serotonergic abdominal neuron,FBbt:00110975,1.08% (1/93),0.04% (5/11801),0.046016332,1,1
A1 neuron,FBbt:00001988,0.0% (0/93),0.11% (13/11801),1,1,1
A7 neuron,FBbt:00001994,0.0% (0/93),0.08% (10/11801),1,1,1
A1-7 dorsal VUM motor neuron,FBbt:00002239,0.0% (0/93),0.03% (3/11801),1,1,1
abdominal segment motor neuron,FBbt:00002198,0.0% (0/93),0.07% (8/11801),1,1,1
A5 neuron,FBbt:00001992,0.0% (0/93),0.09% (11/11801),1,1,1
A6 neuron,FBbt:00001993,0.0% (0/93),0.09% (11/11801),1,1,1
A3 neuron,FBbt:00001990,0.0% (0/93),0.08% (10/11801),1,1,1
A4 neuron,FBbt:00001991,0.0% (0/93),0.09% (11/11801),1,1,1
A1-7 lateral VUM motor neuron,FBbt:00002255,0.0% (0/93),0.03% (3/11801),1,1,1
A2 neuron,FBbt:00001989,0.0% (0/93),0.08% (10/11801),1,1,1
abdominal lch5 neuron,FBbt:00002019,0.0% (0/93),0.04% (5/11801),1,1,1
abdominal dorsal/lateral multidendritic neuron,FBbt:00002385,1.08% (1/93),0.72% (85/11801),0.492123022,1,1
abdominal desC neuron,FBbt:00002337,0.0% (0/93),0.01% (1/11801),1,1,1
abdominal ventral multidendritic neuron,FBbt:00002516,1.08% (1/93),0.33% (39/11801),0.269853345,1,1
tracheal metamere 3,FBbt:00005028,1.08% (1/93),0.02% (2/11801),0.023276212,1,1
abdominal neuromere,FBbt:00004097,0.0% (0/93),0.04% (5/11801),1,1,1
tracheal metamere 8,FBbt:00005033,1.08% (1/93),0.01% (1/11801),0.015577651,1,1
segmental nerve branch SNa of A1-7,FBbt:00007328,0.0% (0/93),0.01% (1/11801),1,1,1
segmental nerve branch SNc of A1-7,FBbt:00007329,0.0% (0/93),0.01% (1/11801),1,1,1
abdominal segmental nerve,FBbt:00002197,0.0% (0/93),0.22% (26/11801),1,1,1
abdominal intersegmental nerve,FBbt:00002319,0.0% (0/93),0.43% (51/11801),1,1,1
tracheal metamere 10,FBbt:00005035,2.15% (2/93),0.0% (0/11801),6.05E-05,1,1
tracheal metamere 9,FBbt:00005034,1.08% (1/93),0.01% (1/11801),0.015577651,1,1
tracheal metamere 6,FBbt:00005031,1.08% (1/93),0.01% (1/11801),0.015577651,1,1
tracheal metamere 4,FBbt:00005029,1.08% (1/93),0.02% (2/11801),0.023276212,1,1
tracheal metamere 7,FBbt:00005032,1.08% (1/93),0.03% (3/11801),0.030915209,1,1
tracheal metamere 5,FBbt:00005030,1.08% (1/93),0.02% (2/11801),0.023276212,1,1
embryonic/larval protocerebrum,FBbt:00001925,1.08% (1/93),1.1% (130/11801),1,1,1
labral sensory complex,FBbt:00005617,0.0% (0/93),0.03% (3/11801),1,1,1
embryonic/larval labral segment sense organ,FBbt:00002649,0.0% (0/93),0.03% (3/11801),1,1,1
terminal organ,FBbt:00002690,0.0% (0/93),0.04% (5/11801),1,1,1
larval maxillary segment sense organ,FBbt:00002689,0.0% (0/93),0.1% (12/11801),1,1,1
embryonic/larval tritocerebrum,FBbt:00001962,0.0% (0/93),0.03% (4/11801),1,1,1
embryonic/larval subesophageal ganglion,FBbt:00100138,0.0% (0/93),0.01% (1/11801),1,1,1
embryonic/larval antennal segment sensillum,FBbt:00002654,0.0% (0/93),0.03% (3/11801),1,1,1
labial complex,FBbt:00007279,0.0% (0/93),0.04% (5/11801),1,1,1
larval mandibular segment sensillum,FBbt:00002685,0.0% (0/93),0.01% (1/11801),1,1,1
embryonic/larval ocular segment sensillum,FBbt:00002642,0.0% (0/93),0.24% (28/11801),1,1,1
embryonic/larval intercalary segment sense organ,FBbt:00007335,0.0% (0/93),0.02% (2/11801),1,1,1
embryonic/larval dorsal pouch,FBbt:00001857,0.0% (0/93),0.07% (8/11801),1,1,1
dorsal multidendritic neuron ddaF,FBbt:00006024,0.0% (0/93),0.01% (1/11801),1,1,1
embryonic/larval mesothoracic dorsal sensory cluster,FBbt:00007298,0.0% (0/93),0.04% (5/11801),1,1,1
embryonic/larval metathoracic ventral sensory cluster,FBbt:00007308,1.08% (1/93),0.01% (1/11801),0.015577651,1,1
dorsal hair,FBbt:00004980,1.08% (1/93),0.09% (11/11801),0.08993689,1,1
A1-7 VO2 motor neuron,FBbt:00002199,0.0% (0/93),0.01% (1/11801),1,1,1
RP3 motor neuron,FBbt:00001455,0.0% (0/93),0.03% (3/11801),1,1,1
RP4 motor neuron,FBbt:00001456,0.0% (0/93),0.01% (1/11801),1,1,1
RP5 motor neuron,FBbt:00001457,0.0% (0/93),0.01% (1/11801),1,1,1
UMI interneuron,FBbt:00001604,0.0% (0/93),0.02% (2/11801),1,1,1
ventro-lateral serotonergic neuron,FBbt:00005134,1.08% (1/93),0.04% (5/11801),0.046016332,1,1
larval Leucokinin neuron of the central nervous system,FBbt:00110063,0.0% (0/93),0.04% (5/11801),1,1,1
midline glial cell,FBbt:00001315,0.0% (0/93),0.03% (3/11801),1,1,1
intersegmental nerve root glial cell,FBbt:00001304,0.0% (0/93),0.01% (1/11801),1,1,1
embryonic/larval cell body glial cell,FBbt:00001298,0.0% (0/93),0.04% (5/11801),1,1,1
embryonic/larval CNS subperineurial glial cell,FBbt:00007598,0.0% (0/93),0.04% (5/11801),1,1,1
embryonic/larval wrapping glial cell,FBbt:00110171,0.0% (0/93),0.03% (4/11801),1,1,1
embryonic/larval stomatogastric nervous system,FBbt:00002628,0.0% (0/93),0.08% (9/11801),1,1,1
U5 neuron,FBbt:00006043,0.0% (0/93),0.01% (1/11801),1,1,1
VUM interneuron,FBbt:00110182,0.0% (0/93),0.04% (5/11801),1,1,1
VUM motorneuron,FBbt:00110181,0.0% (0/93),0.03% (3/11801),1,1,1
RP2 motor neuron,FBbt:00001453,0.0% (0/93),0.01% (1/11801),1,1,1
B-subperineurial glial cell of abdomen,FBbt:00001276,0.0% (0/93),0.01% (1/11801),1,1,1
intersegmental nerve,FBbt:00001997,0.0% (0/93),0.54% (64/11801),1,1,1
segmental nerve,FBbt:00002037,0.0% (0/93),0.58% (68/11801),1,1,1
transverse nerve,FBbt:00001996,0.0% (0/93),0.03% (3/11801),1,1,1
A1-7 dorsal motor neuron,FBbt:00002207,0.0% (0/93),0.01% (1/11801),1,1,1
ISN motor neuron of the intermediate neuropile of A1-7,FBbt:00110218,0.0% (0/93),0.03% (3/11801),1,1,1
A1-7 ventral VUM motor neuron,FBbt:00002247,0.0% (0/93),0.03% (3/11801),1,1,1
7-1M,FBbt:00001558,1.08% (1/93),0.21% (25/11801),0.184790697,1,1
embryonic/larval hypodermal muscle,FBbt:00000465,4.3% (4/93),1.69% (199/11801),0.074646734,1,1
embryonic/larval heart visceral muscle,FBbt:00001036,0.0% (0/93),0.03% (3/11801),1,1,1
embryonic/larval specialised Malpighian tubule cell,FBbt:00001904,0.0% (0/93),0.02% (2/11801),1,1,1
embryonic/larval Malpighian tubule segment,FBbt:00001899,0.0% (0/93),0.01% (1/11801),1,1,1
lateral G branch,FBbt:00000372,0.0% (0/93),0.01% (1/11801),1,1,1
spiracular plate,FBbt:00000427,0.0% (0/93),0.02% (2/11801),1,1,1
tracheal branch of Tr10,FBbt:00000401,2.15% (2/93),0.0% (0/11801),6.05E-05,1,1
tracheal branch of Tr1,FBbt:00000392,1.08% (1/93),0.06% (7/11801),0.060884629,1,1
larval abdominal 1 neuromere,FBbt:00111033,0.0% (0/93),0.01% (1/11801),1,1,1
hypodermal muscle of larval abdominal 1,FBbt:00000637,1.08% (1/93),0.15% (18/11801),0.138654497,1,1
embryonic/larval ventral sensory cluster of A1-7,FBbt:00007309,0.0% (0/93),0.05% (6/11801),1,1,1
embryonic/larval lateral sensory cluster of A1-7,FBbt:00007305,0.0% (0/93),0.31% (36/11801),1,1,1
female genital disc,FBbt:00001787,0.0% (0/93),0.01% (1/11801),1,1,1
larval abdominal 8 neuromere,FBbt:00111040,0.0% (0/93),0.01% (1/11801),1,1,1
hypodermal muscle of larval abdominal 8,FBbt:00000952,0.0% (0/93),0.03% (3/11801),1,1,1
embryonic/larval abdominal 8 sensillum,FBbt:00002928,0.0% (0/93),0.01% (1/11801),1,1,1
embryonic/larval abdominal 11 sensillum,FBbt:00002950,0.0% (0/93),0.05% (6/11801),1,1,1
abdominal lateral sensillum trichodeum lh1,FBbt:00002839,0.0% (0/93),0.01% (1/11801),1,1,1
abdominal lateral sensillum campaniformium lc1,FBbt:00002855,0.0% (0/93),0.01% (1/11801),1,1,1
abdominal lateral sensillum trichodeum lh2,FBbt:00002847,0.0% (0/93),0.01% (1/11801),1,1,1
larval abdominal 7 neuromere,FBbt:00111039,0.0% (0/93),0.01% (1/11801),1,1,1
hypodermal muscle of larval abdominal 7,FBbt:00000907,0.0% (0/93),0.22% (26/11801),1,1,1
hypodermal muscle of larval abdominal 5,FBbt:00000817,0.0% (0/93),0.22% (26/11801),1,1,1
larval abdominal 5 neuromere,FBbt:00111037,0.0% (0/93),0.01% (1/11801),1,1,1
hypodermal muscle of larval abdominal 3,FBbt:00000727,0.0% (0/93),0.23% (27/11801),1,1,1
larval abdominal 3 neuromere,FBbt:00111035,0.0% (0/93),0.01% (1/11801),1,1,1
hypodermal muscle of larval abdominal 2,FBbt:00000682,0.0% (0/93),0.23% (27/11801),1,1,1
larval abdominal 2 neuromere,FBbt:00111034,0.0% (0/93),0.01% (1/11801),1,1,1
A1-7 oblique muscle,FBbt:00000607,0.0% (0/93),0.34% (40/11801),1,1,1
A1-7 transverse muscle,FBbt:00000623,1.08% (1/93),0.23% (27/11801),0.197517456,1,1
A1-7 longitudinal muscle,FBbt:00000598,0.0% (0/93),0.6% (71/11801),1,1,1
intersegmental nerve of A1-7,FBbt:00007314,0.0% (0/93),0.43% (51/11801),1,1,1
ISN innervated muscle of A1-7,FBbt:00110215,1.08% (1/93),0.99% (117/11801),0.605793485,1,1
segmental nerve of A1-7,FBbt:00007315,0.0% (0/93),0.22% (26/11801),1,1,1
TN innervated muscle of A1-7,FBbt:00110303,0.0% (0/93),0.03% (4/11801),1,1,1
hypodermal muscle of larval abdominal 6,FBbt:00000862,0.0% (0/93),0.22% (26/11801),1,1,1
larval abdominal 6 neuromere,FBbt:00111038,0.0% (0/93),0.01% (1/11801),1,1,1
hypodermal muscle of larval abdominal 4,FBbt:00000772,0.0% (0/93),0.21% (25/11801),1,1,1
larval abdominal 4 neuromere,FBbt:00111036,0.0% (0/93),0.01% (1/11801),1,1,1
male genital disc,FBbt:00001785,0.0% (0/93),0.01% (1/11801),1,1,1
larval abdominal neuromere,FBbt:00111028,0.0% (0/93),0.03% (4/11801),1,1,1
prothoracic ventral transverse muscle,FBbt:00000508,0.0% (0/93),0.01% (1/11801),1,1,1
prothoracic transverse muscle,FBbt:00000507,0.0% (0/93),0.01% (1/11801),1,1,1
prothoracic dorsal oblique muscle,FBbt:00000502,0.0% (0/93),0.03% (4/11801),1,1,1
larval metathoracic sensillum,FBbt:00002764,1.08% (1/93),0.01% (1/11801),0.015577651,1,1
hypodermal muscle of metathorax,FBbt:00000552,0.0% (0/93),0.09% (11/11801),1,1,1
metathoracic ventral oblique muscle,FBbt:00000569,0.0% (0/93),0.01% (1/11801),1,1,1
metathoracic lateral longitudinal muscle,FBbt:00000581,0.0% (0/93),0.01% (1/11801),1,1,1
metathoracic oblique muscle,FBbt:00000561,0.0% (0/93),0.03% (4/11801),1,1,1
metathoracic dorsal acute muscle,FBbt:00000554,0.0% (0/93),0.07% (8/11801),1,1,1
metathoracic transverse muscle,FBbt:00000574,0.0% (0/93),0.02% (2/11801),1,1,1
metathoracic acute muscle,FBbt:00000553,0.0% (0/93),0.08% (10/11801),1,1,1
metathoracic ventral longitudinal muscle,FBbt:00000583,0.0% (0/93),0.01% (1/11801),1,1,1
haltere disc,FBbt:00001779,0.0% (0/93),0.03% (4/11801),1,1,1
metathoracic ventral acute muscle,FBbt:00000559,0.0% (0/93),0.01% (1/11801),1,1,1
metathoracic longitudinal muscle,FBbt:00000580,0.0% (0/93),0.03% (3/11801),1,1,1
metathoracic dorsal oblique muscle,FBbt:00000562,0.0% (0/93),0.03% (4/11801),1,1,1
metathoracic lateral transverse muscle,FBbt:00000575,0.0% (0/93),0.01% (1/11801),1,1,1
mesothoracic ventral oblique muscle,FBbt:00000535,0.0% (0/93),0.01% (1/11801),1,1,1
mesothoracic transverse muscle,FBbt:00000539,0.0% (0/93),0.02% (2/11801),1,1,1
mesothoracic dorsal acute muscle,FBbt:00000522,0.0% (0/93),0.07% (8/11801),1,1,1
mesothoracic dorsal oblique muscle,FBbt:00000528,0.0% (0/93),0.03% (4/11801),1,1,1
mesothoracic lateral transverse muscle,FBbt:00000540,0.0% (0/93),0.01% (1/11801),1,1,1
hypodermal muscle of mesothorax,FBbt:00000520,0.0% (0/93),0.08% (10/11801),1,1,1
mesothoracic nerve,FBbt:00002103,0.0% (0/93),0.12% (14/11801),1,1,1
mesothoracic oblique muscle,FBbt:00000527,0.0% (0/93),0.04% (5/11801),1,1,1
mesothoracic lateral longitudinal muscle,FBbt:00000546,0.0% (0/93),0.02% (2/11801),1,1,1
mesothoracic acute muscle,FBbt:00000521,0.0% (0/93),0.07% (8/11801),1,1,1
mesothoracic ventral longitudinal muscle,FBbt:00000548,0.0% (0/93),0.01% (1/11801),1,1,1
mesothoracic longitudinal muscle,FBbt:00000545,0.0% (0/93),0.03% (3/11801),1,1,1
